feature_0,feature_1,feature_2,target
11,25,29,0
12,48,26,1
36,39,26,1
38,46,45,2
17,32,49,0
36,45,45,2
10,7,5,0
37,46,2,2
27,46,6,1
39,15,35,0
12,24,4,3
13,9,3,0
42,0,32,0
31,49,33,0
8,40,29,0
38,12,2,1
46,4,24,1
38,24,20,2
33,30,12,1
16,23,0,0
45,39,48,0
10,19,26,0
7,40,23,4
3,23,28,4
49,30,6,0
41,27,20,0
45,31,35,1
33,9,4,2
27,6,18,1
0,16,49,2
32,48,41,0
13,15,17,0
31,28,14,0
1,2,7,0
29,39,23,2
49,31,32,1
4,0,33,0
18,28,3,2
27,27,16,0
37,26,22,0
17,25,32,0
34,30,9,2
24,10,47,0
5,8,19,1
14,17,36,1
39,34,2,0
4,27,39,0
11,17,37,0
37,6,7,2
17,32,24,0
14,17,2,1
30,44,3,0
2,5,47,0
27,14,33,0
5,28,2,2
46,5,35,0
25,40,42,0
40,41,23,0
0,12,40,1
15,4,14,1
29,19,23,4
23,29,37,0
11,15,13,0
44,26,35,1
4,48,33,0
16,49,34,0
16,46,17,0
48,10,19,2
8,0,9,0
9,22,43,0
23,14,26,0
29,17,49,2
38,30,23,3
1,10,40,0
20,28,0,3
17,18,8,0
28,1,45,0
23,43,18,0
1,47,20,0
29,4,48,3
14,42,32,0
32,0,9,0
34,13,23,2
18,6,26,1
28,8,13,0
24,46,3,0
13,38,11,0
44,24,30,2
38,21,8,1
25,2,42,0
26,1,15,2
39,40,2,2
28,22,7,0
5,19,8,2
47,1,33,0
23,38,1,0
30,28,21,0
35,5,44,0
34,10,15,0
24,27,33,0
15,32,28,0
35,11,44,2
22,3,14,2
13,26,33,0
34,48,0,1
4,46,42,0
32,12,20,0
40,44,10,0
2,35,44,0
36,1,32,2
6,11,45,0
8,45,31,1
11,25,0,0
3,44,49,1
26,4,37,1
18,13,22,0
37,22,1,1
33,19,4,3
3,42,9,2
2,27,41,0
24,4,40,0
47,10,11,0
22,5,44,2
15,31,12,1
37,11,48,3
23,6,36,0
41,9,7,1
22,10,15,2
23,11,3,0
29,13,18,2
33,33,44,0
3,49,37,2
40,6,17,0
20,44,12,0
0,45,38,1
38,30,0,2
28,34,21,0
41,43,45,0
12,37,38,0
37,21,16,1
45,11,24,2
26,43,44,1
29,8,43,2
48,34,8,0
46,7,23,0
10,11,28,2
19,49,48,0
15,14,41,0
40,20,20,0
9,30,3,0
44,13,4,2
20,7,9,1
32,30,3,0
3,35,29,0
24,47,15,0
49,5,13,0
7,36,6,1
15,11,26,1
42,48,43,1
36,17,39,3
43,9,32,1
36,27,34,1
29,1,40,3
9,39,16,0
0,17,10,2
23,41,8,0
20,44,42,0
7,10,43,2
37,11,2,3
13,16,48,1
23,31,37,0
29,46,20,1
24,38,21,0
5,7,37,0
39,46,19,1
46,9,14,0
25,15,39,0
26,20,19,1
14,6,47,3
3,39,15,2
43,47,47,2
30,45,8,0
12,25,30,2
26,11,18,2
20,3,48,0
22,17,14,3
42,32,28,2
21,45,32,1
12,0,5,0
33,11,22,2
49,16,3,0
16,7,6,0
8,42,5,0
42,2,1,2
15,47,10,2
13,24,47,1
23,13,26,0
36,47,16,2
16,16,41,0
22,19,5,3
2,4,41,0
46,11,48,1
11,46,34,0
21,24,0,1
9,29,5,0
17,49,37,0
45,24,34,1
15,21,36,0
27,35,22,0
13,29,19,0
8,12,27,0
7,20,36,0
0,11,15,2
10,37,42,0
7,25,27,2
20,20,8,0
28,5,44,0
40,33,8,0
19,48,43,0
21,39,3,0
10,27,37,0
23,14,7,0
33,8,33,1
44,37,8,1
11,35,37,0
29,1,31,3
11,0,24,0
29,40,32,3
36,28,28,4
12,15,3,0
26,37,38,0
24,4,33,0
22,17,17,2
15,25,38,0
6,39,29,0
38,26,9,2
21,27,31,1
31,32,20,0
2,31,26,0
31,40,29,0
32,46,18,0
36,45,35,1
0,18,32,0
37,31,20,4
31,42,38,0
13,37,11,0
6,26,15,0
2,22,31,0
6,49,16,0
48,16,1,0
30,21,29,0
44,40,23,3
45,6,12,0
30,15,16,0
5,6,24,1
29,1,1,3
4,41,41,0
49,5,17,0
39,13,2,0
20,6,44,1
26,17,2,3
2,42,12,0
37,43,38,0
44,7,21,1
5,34,28,0
42,49,30,2
37,35,3,1
0,40,40,4
6,11,48,1
18,47,23,3
17,36,29,0
22,11,25,4
8,16,14,0
3,24,37,3
43,19,31,3
29,15,3,1
27,4,8,2
13,2,35,0
29,25,20,2
26,10,18,2
33,18,45,0
23,4,24,0
25,23,47,0
20,43,6,2
46,25,16,0
42,46,17,2
37,11,31,4
23,49,18,0
7,30,12,3
20,25,10,2
6,45,0,0
25,11,46,1
26,6,36,1
1,10,7,0
43,31,10,2
2,34,6,0
2,13,35,0
6,25,0,0
42,22,1,0
0,15,24,2
17,21,10,0
48,10,38,0
34,6,44,1
37,26,47,0
20,26,32,1
44,20,1,1
34,2,44,1
39,39,9,0
32,31,5,1
11,37,38,0
1,48,22,0
44,12,37,0
23,40,17,0
37,29,47,0
42,33,40,2
28,12,40,0
25,39,32,0
12,43,6,2
24,18,13,0
12,23,10,3
28,47,13,0
3,34,9,2
32,8,45,0
35,1,0,0
15,13,23,1
46,26,6,0
28,46,37,0
21,31,30,4
13,7,14,0
5,47,48,0
6,8,35,0
44,30,15,2
42,28,20,2
23,31,46,0
16,48,20,0
36,6,31,3
5,44,28,0
8,22,49,0
26,30,46,2
47,39,0,0
43,48,7,0
22,7,13,0
47,0,43,0
2,18,46,0
3,4,41,1
24,18,0,0
37,20,20,2
18,19,47,3
37,15,41,1
3,21,47,2
48,37,16,0
38,45,23,3
44,37,15,0
20,30,9,3
3,17,37,2
25,32,20,0
28,29,14,0
21,3,28,1
8,23,35,0
11,21,11,0
12,4,28,3
33,39,15,1
45,23,38,0
45,35,3,0
28,17,40,0
38,31,48,3
44,17,8,2
13,20,36,0
30,11,2,0
8,5,43,0
34,10,49,2
21,5,33,1
30,13,9,0
39,11,14,1
40,20,38,0
33,42,6,0
27,10,13,1
45,23,48,1
21,2,6,1
48,49,33,0
3,41,29,0
40,21,46,0
23,42,25,0
47,25,48,1
34,5,44,0
8,38,3,0
33,19,29,2
36,46,19,3
35,3,8,0
3,26,13,0
16,48,18,0
45,23,45,1
10,25,24,1
37,31,8,3
0,10,47,1
24,37,3,0
25,24,30,0
1,1,46,0
17,19,31,1
8,21,24,0
17,14,17,0
18,26,11,1
41,29,42,0
34,7,46,1
25,32,27,0
10,16,0,0
37,7,23,1
22,14,13,1
46,29,21,0
30,31,40,0
4,24,44,0
45,48,38,0
27,21,46,0
42,41,30,1
18,35,33,0
11,23,24,0
38,45,37,1
39,6,9,1
38,12,48,1
1,41,18,0
16,16,28,1
38,30,16,3
12,9,26,2
18,3,10,0
34,42,41,1
15,30,49,1
4,49,31,0
39,31,15,2
20,40,0,3
0,47,1,2
17,9,38,0
13,9,35,1
4,47,12,0
2,3,20,0
5,24,26,0
3,30,43,1
7,49,0,1
38,48,8,2
47,19,23,1
18,43,11,1
39,24,17,1
17,23,18,0
37,38,16,1
32,43,43,0
20,29,42,0
47,38,5,0
47,32,33,0
34,32,4,1
13,44,5,0
29,0,30,1
47,35,5,0
15,47,37,0
26,34,16,1
35,41,2,1
15,7,44,0
22,23,2,4
3,32,5,2
14,2,16,1
30,14,43,0
37,39,42,1
46,35,4,0
13,1,2,2
23,15,7,0
24,29,44,0
31,14,45,0
20,0,39,1
30,26,1,0
32,23,44,1
39,22,48,0
25,46,24,0
34,26,40,0
27,27,48,0
19,35,8,0
20,47,14,0
46,3,23,0
32,34,44,0
46,47,12,0
1,38,9,0
28,3,3,0
47,11,26,0
39,29,2,0
0,31,15,3
6,5,10,0
35,13,39,0
33,32,20,0
47,40,12,1
13,40,17,1
40,45,21,0
40,38,35,0
48,17,29,0
22,20,21,0
17,46,28,0
3,29,9,1
23,39,42,0
36,25,7,2
24,6,0,0
7,37,43,0
3,4,39,2
32,7,24,0
16,6,40,1
18,45,30,3
44,44,17,1
17,4,34,0
7,49,39,2
20,2,12,1
41,21,48,0
23,30,35,0
34,0,9,1
27,37,44,0
24,48,27,0
26,36,31,2
31,16,43,0
42,5,38,1
23,26,28,0
41,46,43,0
46,36,18,0
41,44,21,0
25,36,36,0
24,16,40,0
28,39,34,0
21,46,34,1
41,40,43,1
38,37,18,1
33,41,35,0
8,4,20,0
27,13,23,1
46,32,9,0
30,22,11,0
47,16,35,0
11,46,41,0
41,39,32,1
39,16,28,1
4,5,44,0
19,28,1,0
2,27,13,0
47,34,18,0
39,8,33,0
29,31,38,3
3,19,38,2
2,7,47,0
48,13,6,0
